Epoch,Animal amount,Grass amount,Average energy,Average life span,Average children amount
0,6,0,100.0,0.0,0.0
1,6,2,97.0,0.0,0.0
2,6,4,94.0,0.0,0.0
3,6,6,91.0,0.0,0.0
4,6,8,88.0,0.0,0.0
5,6,10,85.0,0.0,0.0
6,6,12,82.0,0.0,0.0
7,6,14,79.0,0.0,0.0
8,6,16,76.0,0.0,0.0
9,6,18,73.0,0.0,0.0
10,6,20,70.0,0.0,0.0
11,6,22,67.0,0.0,0.0
12,6,24,64.0,0.0,0.0
13,6,26,61.0,0.0,0.0
14,6,27,74.66666666666667,0.0,0.0
15,6,29,71.66666666666667,0.0,0.0
16,6,31,68.66666666666667,0.0,0.0
17,6,33,65.66666666666667,0.0,0.0
18,6,35,62.666666666666664,0.0,0.0
19,6,37,59.666666666666664,0.0,0.0
20,6,39,56.666666666666664,0.0,0.0
21,6,40,70.33333333333333,0.0,0.0
22,6,42,67.33333333333333,0.0,0.0
23,6,44,64.33333333333333,0.0,0.0
24,6,46,61.333333333333336,0.0,0.0
25,6,47,75.0,0.0,0.0
26,6,49,72.0,0.0,0.0
27,6,51,69.0,0.0,0.0
28,6,52,82.66666666666667,0.0,0.0
29,6,54,79.66666666666667,0.0,0.0
30,6,56,76.66666666666667,0.0,0.0
31,6,58,73.66666666666667,0.0,0.0
32,6,60,70.66666666666667,0.0,0.0
33,6,62,67.66666666666667,0.0,0.0
34,6,64,64.66666666666667,0.0,0.0
35,3,65,161.66666666666666,35.0,0.0
36,3,67,158.66666666666666,35.0,0.0
37,3,69,155.66666666666666,35.0,0.0
38,3,70,186.0,35.0,0.0
39,3,72,183.0,35.0,0.0
40,3,74,180.0,35.0,0.0
41,3,76,177.0,35.0,0.0
42,3,78,174.0,35.0,0.0
43,3,79,204.33333333333334,35.0,0.0
44,3,81,201.33333333333334,35.0,0.0
45,3,83,198.33333333333334,35.0,0.0
46,3,84,228.66666666666666,35.0,0.0
47,3,86,225.66666666666666,35.0,0.0
48,3,88,222.66666666666666,35.0,0.0
49,3,90,219.66666666666666,35.0,0.0
50,3,92,216.66666666666666,35.0,0.0
51,3,94,213.66666666666666,35.0,0.0
52,3,96,210.66666666666666,35.0,0.0
53,3,98,207.66666666666666,35.0,0.0
54,3,100,204.66666666666666,35.0,0.0
55,3,102,201.66666666666666,35.0,0.0
56,3,104,198.66666666666666,35.0,0.0
57,3,105,229.0,35.0,0.0
58,3,107,226.0,35.0,0.0
59,3,109,223.0,35.0,0.0
60,3,111,220.0,35.0,0.0
61,3,113,217.0,35.0,0.0
62,3,115,214.0,35.0,0.0
63,3,115,244.33333333333334,35.0,0.0
64,3,116,241.33333333333334,35.0,0.0
65,3,116,271.6666666666667,35.0,0.0
66,3,117,268.6666666666667,35.0,0.0
67,3,117,299.0,35.0,0.0
68,3,118,296.0,35.0,0.0
69,3,119,293.0,35.0,0.0
70,3,120,290.0,35.0,0.0
71,3,121,287.0,35.0,0.0
72,3,122,284.0,35.0,0.0
73,3,123,281.0,35.0,0.0
74,3,123,311.3333333333333,35.0,0.0
75,3,123,341.6666666666667,35.0,0.0
76,3,124,338.6666666666667,35.0,0.0
77,3,125,335.6666666666667,35.0,0.0
78,3,126,332.6666666666667,35.0,0.0
79,3,126,363.0,35.0,0.0
80,3,127,360.0,35.0,0.0
81,3,128,357.0,35.0,0.0
82,3,129,354.0,35.0,0.0
83,3,130,351.0,35.0,0.0
84,3,131,348.0,35.0,0.0
85,3,132,345.0,35.0,0.0
86,3,133,342.0,35.0,0.0
87,3,134,339.0,35.0,0.0
88,3,135,336.0,35.0,0.0
89,3,136,333.0,35.0,0.0
90,3,136,363.3333333333333,35.0,0.0
91,3,135,427.0,35.0,0.0
92,3,134,490.6666666666667,35.0,0.0
93,3,134,521.0,35.0,0.0
94,3,135,518.0,35.0,0.0
95,3,135,548.3333333333334,35.0,0.0
96,3,135,578.6666666666666,35.0,0.0
97,3,136,575.6666666666666,35.0,0.0
98,3,136,606.0,35.0,0.0
99,3,137,603.0,35.0,0.0
100,3,137,633.3333333333334,35.0,0.0
101,3,137,663.6666666666666,35.0,0.0
102,3,137,694.0,35.0,0.0
103,3,138,691.0,35.0,0.0
104,3,139,688.0,35.0,0.0
105,3,139,718.3333333333334,35.0,0.0
106,3,140,715.3333333333334,35.0,0.0
107,3,141,712.3333333333334,35.0,0.0
108,3,141,742.6666666666666,35.0,0.0
109,3,141,773.0,35.0,0.0
110,3,140,836.6666666666666,35.0,0.0
111,3,141,833.6666666666666,35.0,0.0
112,3,141,864.0,35.0,0.0
113,3,140,927.6666666666666,35.0,0.0
114,3,141,924.6666666666666,35.0,0.0
115,3,142,921.6666666666666,35.0,0.0
116,3,142,952.0,35.0,0.0
117,3,142,982.3333333333334,35.0,0.0
118,3,143,979.3333333333334,35.0,0.0
119,3,144,976.3333333333334,35.0,0.0
120,3,144,1006.6666666666666,35.0,0.0
121,3,145,1003.6666666666666,35.0,0.0
122,3,145,1034.0,35.0,0.0
123,3,146,1031.0,35.0,0.0
124,3,147,1028.0,35.0,0.0
125,3,147,1058.3333333333333,35.0,0.0
126,3,146,1122.0,35.0,0.0
127,3,147,1119.0,35.0,0.0
128,3,147,1116.0,35.0,0.0
129,3,146,1146.3333333333333,35.0,0.0
130,3,144,1210.0,35.0,0.0
131,3,144,1207.0,35.0,0.0
132,3,143,1237.3333333333333,35.0,0.0
133,3,142,1267.6666666666667,35.0,0.0
134,3,142,1264.6666666666667,35.0,0.0
135,3,141,1295.0,35.0,0.0
136,3,141,1292.0,35.0,0.0
137,3,140,1322.3333333333333,35.0,0.0
138,3,139,1352.6666666666667,35.0,0.0
139,3,138,1383.0,35.0,0.0
140,3,137,1413.3333333333333,35.0,0.0
141,3,137,1410.3333333333333,35.0,0.0
142,3,137,1407.3333333333333,35.0,0.0
143,3,137,1404.3333333333333,35.0,0.0
144,3,137,1401.3333333333333,35.0,0.0
145,3,137,1398.3333333333333,35.0,0.0
146,3,137,1395.3333333333333,35.0,0.0
